Source,Target,Weight
158719983,1990691574,98
158719983,344660523,26
158719983,3166996322,47
158719988,1302059205,39
158719988,1990691522,41
158719988,1990691566,39
158719990,309274924,195
158719990,244400414,128
158719990,1302059203,19
158719990,1990691522,242
159986316,159986338,102
159986316,159986399,22
159986338,159986408,37
159986338,159986346,23
159986346,159986359,64
159986346,159986408,38
159986359,159986416,41
159986359,159986368,25
159986368,159986399,115
159986368,159986416,40
159986408,236282114,238
159986416,159986453,833
159986453,159986466,343
159986453,367715209,885
159986453,273513285,127
159986466,6272031420,429
159986466,273513285,389
159986509,1999671870,23
159986509,1999671865,37
159986509,1999671869,12
159986514,1999671872,23
159986514,159986593,59
159986514,1999671870,15
159986530,1999671869,65
159986530,1999671872,12
159986530,1999671874,46
159986574,159986580,695
159986574,271494529,180
159986574,159986593,207
159986580,4957866138,112
159986580,159986607,213
159986586,4957866134,8
159986586,159986695,396
159986586,4957866138,30
159986593,1999671870,57
159986607,1999671878,85
159986607,1999671874,656
159986612,3138134364,9
159986612,1999671878,71
159986659,4959342152,37
159986659,1966759830,394
159986659,159986684,18
159986684,159986695,8
159986684,4959342152,35
159986695,243072635,124
159986699,9723560700,137
159986699,4959342152,21
159986699,5305302983,307
159986716,243091155,349
159986716,3835674675,653
159986716,3223026282,589
159986737,5325808875,25
159986737,4983217350,8
159986737,3113706637,22
159986748,159986759,7
159986748,159986782,23
159986748,1864383821,11
159986759,268471517,156
159986759,159986766,10
159986766,159986788,23
159986766,1864383815,11
159986769,159986776,28
159986769,159986771,11
159986769,1864383815,5
159986771,1864383821,3
159986771,159986776,28
159986776,268471529,240
159986782,3632716600,14
159986782,9517344398,6
159986788,1864383815,23
159986788,268471496,100
159986869,268471574,89
159986869,246689939,193
159986869,272849161,84
159986884,2471550285,45
159986884,1346184969,22
159986884,1748345691,714
159986929,1346184969,13
159986929,159986942,68
159986929,159987005,31
159986942,2457267850,138
159986942,11133934224,421
159986972,159987005,89
159986972,268471574,107
159986972,2471550285,29
159987005,163081138,480
163019122,178983659,127
163019122,4945177961,88
163019122,2244756208,105
163019184,179004691,626
163019184,676866334,21
163019184,676864453,11
163019184,676866950,80
163019192,315946161,146
163019192,315946141,59
163019192,163019197,97
163019197,163019302,15
163019197,167074887,20
163019197,315946145,151
163019213,163019221,39
163019213,178983788,148
163019213,4945177961,51
163019221,178983797,154
163019221,163019227,23
163019227,163019247,111
163019227,178983800,155
163019247,184314609,208
163019247,2662464327,15
163019282,3216613327,9
163019282,2662907005,43
163019282,2662406836,348
163019282,3693393451,23
163019302,167074880,19
163019302,3713060618,24
163019302,3693986863,22
163019314,665618030,20
163019314,163019318,22
163019314,163019587,24
163019314,665618027,29
163019318,163019580,25
163019318,665618024,33
163019318,171222341,53
163019332,163019563,21
163019332,665618017,23
163019332,248217410,34
163019332,265668326,10
163019359,666140157,51
163019359,666140151,14
163019359,243871058,58
163019359,442049267,14
163019359,663243247,26
163019395,5628308824,16
163019395,252016166,303
163019395,247170156,344
163019437,185586333,32
163019437,250456483,1011
163019437,185586240,25
163019437,697103374,340
163019445,185586240,32
163019445,697103635,42
163019445,185586333,25
163019445,3740163266,52
163019521,243871047,20
163019521,243871049,66
163019521,442049266,49
163019521,442049267,27
163019521,663243247,18
163019531,343515272,624
163019531,243871044,42
163019531,243871047,32
163019563,265668327,10
163019563,672954389,48
163019563,343515272,191
163019580,243775403,24
163019580,163019587,22
163019580,665618019,40
163019587,665618025,29
163019587,265668317,33
163081138,1123383397,12
163081138,6133386007,167
163081138,4693492229,413
163081168,1123383515,9
163081168,268471636,153
163081168,278325403,249
163081168,6133386007,242
163081214,163081227,127
163081214,242840061,320
163081214,1115036245,139
163081227,242840024,44
163081227,163081234,48
163081234,6093437788,172
163081234,242840024,30
163081299,666064712,689
163081299,10171074312,377
163081299,3112571619,465
163081315,163081320,41
163081315,242838361,30
163081315,6093437788,122
163081320,163081342,227
163081320,242838361,29
163081342,242838378,54
163081342,163081350,53
163081350,1941988542,40
163081350,242838378,47
163081368,242839996,244
163081368,242839994,240
163081406,163081429,350
